SetNumber,ChordName,Notes
21,AM9,"B4 G#4 C#4 A3"
21,A#M9,"C5 A4 D4 A#3"
21,BM9,"C#5 A#4 D#4 B3"
22,Cm9,"D4 A#3 D#3 C3"
22,C#m9,"D#4 B3 E3 C#3"
22,Dm9,"E4 C4 F3 D3"
22,D#m9,"F4 C#4 F#3 D#3"
22,Em9,"F#4 D4 G3 E3"
22,Fm9,"G4 D#4 G#3 F3"
22,F#m9,"G#4 E4 A3 F#3"
22,Gm9,"A4 F4 A#3 G3"
22,G#m9,"A#4 F#4 B3 G#3"
22,Am9,"B4 G4 C4 A3"
22,A#m9,"C5 G#4 C#4 A#3"
22,Bm9,"C#5 A4 D4 B3"
23,CM9/#11,"F#4 D4 B3 C3"
23,C#M9/#11,"G4 D#4 C4 C#3"
23,DM9/#11,"G#4 E4 C#4 D3"
23,D#M9/#11,"A4 F4 D4 D#3"
23,EM9/#11,"A#4 F#4 D#4 E3"
23,FM9/#11,"B4 G4 E4 F3"
23,F#M9/#11,"C5 G#4 F4 F#3"
23,GM9/#11,"C#5 A4 F#4 G3"
23,G#M9/#11,"D5 A#4 G4 G#3"
23,AM9/#11,"D#5 B4 G#4 A3"
23,A#M9/#11,"E5 C5 A4 A#3"
23,BM9/#11,"F5 C#5 A#4 B3"
24,Cm9/11,"F4 D4 A#3 C3"
24,C#m9/11,"F#4 D#4 B3 C#3"
24,Dm9/11,"G4 E4 C4 D3"
24,D#m9/11,"G#4 F4 C#4 D#3"
24,Em9/11,"A4 F#4 D4 E3"
24,Fm9/11,"A#4 G4 D#4 F3"
24,F#m9/11,"B4 G#4 E4 F#3"
24,Gm9/11,"C5 A4 F4 G3"
24,G#m9/11,"C#5 A#4 F#4 G#3"
24,Am9/11,"D5 B4 G4 A3"
24,A#m9/11,"D#5 C5 G#4 A#3"
24,Bm9/11,"E5 C#5 A4 B3"
25,CM7,"B3 G3 E3 C3"
25,CM7,"C4 B3 G3 E3"
25,CM7,"E4 C4 B3 G3"
25,CM7,"G4 E4 C4 B3"
25,CM7,"B4 G4 E4 C4"
25,CM7,"C5 B4 G4 E4"
25,CM7,"B4 E4 G3 C3"
25,CM7,"C5 B4 E4 G3"
25,CM7,"E5 B4 G4 C4"
25,CM7,"G5 C5 B4 E4"
25,CM7,"B5 E5 C5 G4"
25,CM7,"C6 G5 E5 B4"
26,Cm7,"A#3 G3 D#3 C3"
26,Cm7/D#,"C4 A#3 G3 D#3"
26,Cm7/G,"D#4 C4 A#3 G3"
26,Cm7/A#,"G4 D#4 C4 A#3"
26,Cm7,"A#4 G4 D#4 C4"
26,Cm7/D#,"C5 A#4 G4 D#4"
26,Cm7,"A#4 D#4 G3 C3"
26,Cm7/G,"C5 A#4 D#4 G3"
26,Cm7,"D#5 A#4 G4 C4"
26,Cm7/D#,"G5 C5 A#4 D#4"
26,Cm7/G,"A#5 D#5 C5 G4"
26,Cm7/A#,"C6 G5 D#5 A#4"
27,C,"E4 G3 C3"
27,Em,"G4 B3 E3"
27,G,"B4 D4 G3"
27,Am,"C5 E4 A3"
27,Bm,"D5 F#4 B3"
27,C,"E5 G4 C4"
27,Em,"G5 B4 E4"
27,G,"B5 D5 G4"
27,Am,"C6 E5 A4"
27,Bm,"D6 F#5 B4"
27,C,"E6 G5 C5"
27,Em,"D7 B5 E5"
28,C,"C4 G3 E3 C3"
28,C7,"A#3 G3 E3 C3"
28,Dm7,"C4 A3 F3 D3"
28,D#M7,"A#3 G3 D3 D#2"
28,C/E,"C4 G3 E3 E2"
28,F,"C4 A3 F3 F2"
28,Fm,"C4 G#3 F3 F2"
28,G,"B3 G3 D3 G2"
28,C/G,"C4 G3 E3 G2"
28,Am7,"C4 G3 E3 A2"
28,Eaug/A#,"C4 G#3 E3 A#2"
28,G7/B,"B3 G3 F3 B2"
29,C,"E4 C4 C3 C2"
29,FM7,"E4 C4 F2 F1"
29,G,"D4 B3 G2 G1"
29,Em7,"D4 G3 B2 E2"
29,Dm7,"C4 F3 A2 D2"
29,CM7/E,"C4 G3 B2 E2"
29,F,"C4 A3 C3 F2"
29,D7/G,"D4 A3 C3 G2"
29,G,"D4 B3 D3 G2"
29,Am,"E4 C4 E3 A2"
29,Dm,"F4 A3 A2 D2"
29,G7,"G4 B3 F3 G2"
30,Cm,"D#4 G3 C3"
30,D#,"G4 A#3 D#3"
30,G#,"C4 D#3 G#2"
30,A#,"D4 F3 A#2"
30,Gm,"G4 D4 A#3 G3"
30,G#,"G#4 D#4 C4 G#3"
30,D#,"G4 D#4 A#3 D#3"
30,A#sus4/D,"F4 D#4 A#3 D3"
30,Cm,"D#4 C4 G3 C3"
30,G/B,"D4 B3 G3 B2"
30,G#,"C4 G#3 D#3 G#2"
30,F/A,"C4 A3 F3 A2"
31,Cadd11,"C5 F4 E4 C3"
31,Bb/C,"F4 D4 A#3 C3"
31,Dm7,"F4 C4 A3 D3"
31,D7,"F#4 C4 A3 D3"
31,Cadd9/E,"G4 D4 C4 E3"
31,FM7,"A4 E4 C4 F3"
31,F7,"A4 D#4 C4 F3"
31,Gm7,"A#4 F4 D4 G3"
31,A/G,"A4 E4 C#4 G3"
31,FM7/A,"C5 F4 E4 A3"
31,F/Bb,"A4 F4 C4 A#3"
31,G7/B,"G4 F4 D4 B3"
32,Cmb13,"D#4 G#3 G3 C3"
32,D#M7,"G4 D4 A#3 D#3"
32,G7/D,"F4 B3 G3 D3"
32,A#/D#,"F4 D4 A#3 D#3"
32,C7,"E4 A#3 G3 C3"
32,Fm7,"G#4 D#4 C4 F3"
32,D#,"G4 D#4 A#3 D#3"
32,Gm7,"F4 D4 A#3 G3"
32,G#M9,"G4 C4 A#3 G#3"
32,G#m6,"F4 D#3 B3 G#3"
32,F7/A,"F4 D#4 C3 A3"
32,A#add11,"A#4 D#4 D4 A#3"
33,CM7,"B3 G3 E3 C3"
33,F/E,"C4 A3 F3 E3"
33,A#M7,"D4 A3 F3 A#2"
33,G,"D4 B3 G3 G2"
33,Dm7,"F4 C4 F3 D3"
33,C,"E4 C4 G3 C3"
33,A#M7,"F4 D4 A3 A#2"
33,G,"G4 D4 B3 G2"
33,C,"E4 C4 G3 C3"
33,A/C#,"E4 C#4 A3 C#3"
33,Dm,"F4 D4 A3 D3"
33,G/F,"G4 D4 B3 F3"
34,Csus2,"D4 G3 D3 C3"
34,Dsus2,"E4 A3 E3 D3"
34,D#sus2,"F4 A#3 F3 D#3"
34,Fsus2,"G4 C4 G3 F3"
34,Gsus2,"A4 D4 A3 G3"
34,A#sus2,"C5 F4 C4 A#3"
34,Csus2,"D5 G4 D4 C4"
34,Dsus2,"E5 A4 E4 D4"
34,D#sus2,"F5 A#4 F4 D#4"
34,Fsus2,"G5 C5 G4 F4"
34,Gsus2,"A5 D5 A4 G4"
34,A#sus2,"C6 F5 C5 A#4"
35,CM7,"B4 E4 G3 C3"
35,Am7,"G4 C4 E3 A2"
35,DM7,"C#5 F#4 A3 D3"
35,Bm7,"A4 D4 F#3 B2"
35,EM7,"D#5 G#4 B3 E3"
35,C#m7,"B4 E4 G#3 C#3"
35,F#M7,"F5 A#4 C#4 F#3"
35,D#m7,"C#5 F#4 A#3 D#3"
35,G#M7,"G5 C5 D#4 G#3"
35,Fm7,"D#5 G#4 C4 F3"
35,A#M7,"A5 D5 F4 A#3"
35,Gm7,"F5 A#4 D4 G3"
36,Ebsus2/C,"Eb4 Bb3 F3 C3"
36,Fsus2/D,"F4 C4 G3 D3"
36,Gsus2/E,"G4 D4 A3 E3"
36,Absus2/F,"Ab4 Eb4 Bb3 F3"
36,Bbsus2/G,"Bb4 F4 C4 G3"
36,Csus2/A,"C5 G4 D4 A3"
36,Dsus2/B,"D5 A4 E4 B3"
36,Ebsus2/C,"Eb5 Bb4 F4 C4"
36,Fsus2/D,"F5 C5 G4 D4"
36,Gsus2/E,"G5 D5 A4 E4"
36,Absus2/F,"Ab5 Eb5 Bb4 F4"
36,Bbsus2/G,"Bb5 F5 C5 G4"
37,C6sus2,"A4 D4 G3 C3"
37,Dsus2,"A4 E4 A3 D3"
37,Emadd11,"A4 G4 B3 E3"
37,Dadd9/F#,"A4 E4 D4 F#3"
37,Gadd9,"B4 A4 D4 G3"
37,Am7/11,"D5 G4 C4 A3"
37,Bm7,"D5 A4 F#4 B3"
37,C6,"E5 A4 G4 C4"
37,D6,"F#5 B4 A4 D4"
37,Emadd9,"F#5 B4 G4 E4"
37,E7sus4,"A5 D5 B4 E4"
37,Em7b5/F,"G5 E5 D5 F4"
38,C,"E4 C4 G3 C3"
38,Gsus4,"G4 D4 C4 G3"
38,G7sus4,"F4 D4 C4 G3"
38,A#/D#,"F4 D4 A#3 D#3"
38,C/E,"E4 C4 G3 E3"
38,Gsus4/F,"D4 C4 G3 F3"
38,D/F#,"F#4 D4 A3 F#3"
38,C/G,"E4 C4 G3 G2"
38,E/G#,"E4 B3 G#3 G#2"
38,Am,"E4 C4 A3 A2"
38,Fsus4,"F4 C4 A#3 F3"
38,G,"G4 D4 B3 B2"
39,C6sus4,"A3 G3 F3 C3"
39,Gmadd9/D,"A#3 A3 G3 D3"
39,Edim11,"A#3 A3 G3 E3"
39,Fsus2/D,"C4 G3 F3 D3"
39,BbM7,"D4 A#3 A3 F3"
39,Gmadd9,"D4 A#3 A3 G3"
39,Am/G,"E4 C4 A3 G3"
39,C7/G,"E4 C4 A#3 G3"
39,A#M7,"F4 D4 A#3 A3"
39,Gm/A,"G4 D4 A#3 A3"
39,C7/A#,"G4 E4 C4 A#3"
39,A#m6,"G4 F4 C#4 A#3"
40,Cadd9,"G3 E3 D3 C3"
40,Dadd9,"A3 F#3 E3 D3"
40,D#add9,"A#3 G3 F3 D#3"
40,Fadd9,"C4 A3 G3 F3"
40,Gadd9,"D4 B3 A3 G3"
40,G#add9,"D#4 C4 A#3 G#3"
40,A#add9,"F4 D4 C4 A#3"
40,Cadd9,"G4 E4 D4 C4"
40,Dadd9,"A4 F#4 E4 D4"
40,D#add9,"A#4 G4 F4 D#4"
40,Fadd9,"C5 A4 G4 F4"
40,Gadd9,"D5 B4 A4 G4"
41,C,"C4 G3 E3 C2"
41,C#dim7,"A#3 G3 E3 C#2"
41,Fsus2/D,"C4 G3 F3 D2"
41,D#add9,"A#3 G3 F3 D#2"
41,Csus2/E,"C4 G3 D3 E2"
41,FM7,"C4 A3 E3 F2"
41,F#dim,"C4 A3 F#3 F#2"
41,Gsus4,"C4 G3 D3 G2"
41,G#6,"C4 G#3 F3 G#2"
41,Csus2/A,"C4 G3 D3 A2"
41,Csus2/A#,"C4 G3 D3 A#2"
41,G7/B,"B3 G3 F3 B2"
42,C,"C5 E4 G3 C3"
42,A#sus2/D#,"C5 F4 A#3 D#3"
42,A#7/G#,"A#4 F4 G#3 G#2"
42,G/B,"B4 D4 G3 B2"
42,C,"C5 E4 G3 C3"
42,Fm,"C5 F4 G#3 F2"
42,F#dim7,"C5 D#4 A3 F#2"
42,C,"C5 E4 G3 G2"
42,G#add9,"C5 D#4 A#3 G#2"
42,F/A,"C5 F4 A3 A2"
42,A#,"D5 F4 A#3 A#2"
42,G7/B,"D5 F4 G3 B2"
43,Cm7,"G4 D#4 A#3 C3"
43,A#/C,"F4 D4 A#3 C3"
43,D#/G#,"G4 D#4 A#3 G#2"
43,A#/G#,"F4 D4 A#3 G#2"
43,D#/F,"G4 D#4 A#3 F3"
43,A#/F,"F3 D4 A#3 F3"
43,G#add9,"D#4 C4 A#3 G#2"
43,A#,"F4 D4 A#3 A#2"
43,G#M7,"D#4 C4 G3 G#2"
43,Fsus2/A,"F4 C4 G3 A2"
43,A#6,"F4 D4 G3 A#2"
43,Fm7/B,"F4 D#4 G#3 B2"
44,Cm7,"A#4 G4 D#4 C3"
44,C#sus2/F,"G#4 D#4 C#4 F3"
44,Gm7,"A#4 F4 D4 G3"
44,D#,"A#4 D#4 G3 D#3"
44,Csus2/E,"G4 D4 C4 E3"
44,Fm,"G#4 F4 C4 F3"
44,D#dim7,"A4 D#4 C4 F#3"
44,G#sus2/G,"A#4 D#4 G#3 G3"
44,Cm7,"A#4 D#4 C4 C3"
44,F7,"A4 D#4 C4 F3"
44,Fm7,"G#4 D#4 C4 F3"
44,G5,"G4 D4 D3 G3"
45,Ab,"Ab3 Eb3 C3"
45,Fm,"Ab3 F3 C3"
45,Gm,"Bb3 G3 D3"
45,Ab,"C4 Ab3 Eb3"
45,Fm,"C4 Ab3 F3"
45,Bb,"D3 Bb3 F3"
45,Gm,"D4 Bb3 G3"
45,Cm,"Eb4 C4 G3"
45,Ab,"Eb4 C4 Ab3"
45,Fm,"F4 C4 Ab3"
45,Bb,"F4 D4 Bb3"
45,Cm,"G4 Eb4 C4"
46,C,"E3 G2 C2"
46,D,"F#3 A2 D2"
46,Em,"G3 B2 E2"
46,D,"A3 D3 F#2"
46,G,"B3 D3 G2"
46,Am,"C4 E3 A2"
46,Bm,"D4 F#3 B2"
46,C,"E4 G3 C3"
46,D,"F#4 A3 D3"
46,Em,"G4 B3 E3"
46,D,"A4 D4 F#3"
46,G,"B4 D4 G3"
47,Cm7,"A#3 G3 D#3 C3"
47,D#M7,"D4 A#3 G3 D#3"
47,Dm7,"C4 A3 F3 D3"
47,Fm7,"D#4 C4 G#3 F3"
47,D#M7,"D4 A#3 G3 D#3"
47,Gm7,"F4 D4 A#3 G3"
47,Fm7,"D#4 C4 G#3 F3"
47,G#M7,"G4 D#4 C4 G#3"
47,Gm7,"F4 D4 A#3 G3"
47,A#7,"G#4 F4 D4 A#3"
47,G#M7,"G4 D#4 C4 G#3"
47,C#/C,"G#4 F4 C#4 C4"
48,Cm,"Eb4 G3 C3 C2"
48,Ab/C,"Eb4 Ab3 C3 C2"
48,Bb/D,"F4 Bb3 F3 D2"
48,Eb,"G4 Bb3 Bb2 Eb2"
48,C/E,"G4 C4 G3 E2"
48,Fm,"Ab4 C4 F3 F2"
48,F,"A4 C4 F3 F2"
48,Gm,"Bb4 D4 G3 G2"
48,Ab,"C4 Eb3 Ab2 Ab1"
48,F7/A,"C4 F3 Eb3 A1"
48,Bb,"D4 F3 Bb2 Bb1"
48,G7/B,"D4 G3 F3 B1"
49,Cm7,"Eb4 Bb3 G3 C3"
49,C#m7,"E4 B3 G#3 C#3"
49,Dm7,"F4 C4 A3 D3"
49,EbM7,"G4 D4 Bb3 Eb3"
49,Gm/E,"G4 D4 Bb3 E3"
49,Eb/F,"G4 Eb4 Bb3 F3"
49,D7/F#,"C4 A3 D3 F#2"
49,Gm7,"Bb3 F3 D3 G2"
49,AbM7,"C4 G3 Eb3 Ab2"
49,Ab/Bb,"Eb4 C4 Ab3 Bb2"
49,BbM7,"D4 A3 F3 Bb2"
49,Bm7b5,"D4 A3 F3 B2"
50,Cmaj7,"E4 B3 G3 C3"
50,Dmaj7,"F#4 C#4 A3 D3"
50,Em7,"G4 D4 B3 E3"
50,Fmaj9,"G4 E4 C4 F3"
50,Gmaj9,"A4 F#4 D4 G3"
50,Eadd9/G#,"B4 F#4 E4 G#3"
50,Am7,"C5 G4 E4 A3"
50,Bm7,"D5 A4 F#4 B3"
50,Cmaj9,"D5 B4 G4 C4"
50,Dm7/9,"E5 C5 F4 D4"
50,Em7,"G5 D5 B4 E4"
50,Fmaj7,"A5 E5 C5 F4"
51,Cm7,"A#3 G3 D#3 C3"
51,G#/C#,"C4 G#3 D#3 C#3"
51,Dm7,"C4 A3 F3 D3"
51,A#/D#,"D4 A#3 F3 D#3"
51,Em7,"D4 B3 G3 E3"
51,C/F,"E4 C4 G3 F3"
51,F#m7,"E4 C#4 A3 F#3"
51,D/G,"F#4 D4 A3 G3"
51,G#m7,"F#4 D#4 B3 G#3"
51,E/A,"G#4 E4 B3 A3"
51,A#m7,"G#4 F4 C#4 A#3"
51,F#/B,"A#4 F#4 C#4 B3"
52,Cm7,"A#4 D#4 G3 C3"
52,G#M7,"G4 C4 D#3 G#2"
52,Dm7,"C5 F4 A3 D3"
52,A#M7,"A4 D4 F3 A#2"
52,Em7,"D5 G4 B3 E3"
52,CM7,"B4 E4 G3 C3"
52,F#m7,"E5 A4 C#4 F#3"
52,DM7,"C#5 F#4 A3 D3"
52,G#m7,"F#5 B4 D#4 G#3"
52,EM7,"D#5 G#4 B3 E3"
52,A#m7,"G#5 C#5 F4 A#3"
52,F#M7,"F5 A#4 C#4 F#3"
53,Cm7/11,"F4 A#3 D#3 C3"
53,Cdim7,"F#4 A3 D#3 C3"
53,C#M7/b5,"G4 C4 F3 C#3"
53,Ddim7,"G#4 B3 F3 D3"
53,Cm,"G4 C4 G3 D#3"
53,C#M7,"F4 C4 F3 C#3"
53,CM7,"E4 B3 G3 C3"
53,Em7,"G4 D4 B3 E3"
53,FM7,"A4 E4 C4 F3"
53,Fm6,"G#4 D4 C4 F3"
53,Csus2/E,"G4 D4 C4 E3"
53,Fm,"F4 C4 G#3 F3"
54,CM7,"B3 G3 E3 C3"
54,Em7,"D4 B3 G3 E3"
54,Dm7,"C4 A3 F3 D3"
54,FM7,"E4 C4 A3 F3"
54,D#M7,"D4 A#3 G3 D#3"
54,Gm7,"F4 D4 A#3 G3"
54,FM7,"E4 C4 A3 F3"
54,Am7,"G4 E4 C4 A3"
54,Gm7,"F4 D4 A#3 G3"
54,A#M7,"A4 F4 D4 A#3"
54,Am7,"G4 E4 C4 A3"
54,Bm7,"A4 F#4 D4 B3"
